start, goal,performance, path
1414:406,1061:235,998,=>1414:406=>1128:266=>1061:235
618:489,1061:235,998,=>618:489=>1102:311=>1061:235
396:513,1061:235,998,=>396:513=>984:231=>1061:235
904:694,1061:235,998,=>904:694=>984:231=>1061:235
1239:696,1061:235,997,=>1239:696=>1112:432=>1064:400=>1061:235
737:291,1061:235,999,=>737:291=>1061:235
737:291,1061:235,999,=>737:291=>1061:235
861:609,1061:235,998,=>861:609=>984:231=>1061:235
1016:377,1061:235,999,=>1016:377=>1061:235
1016:377,1061:235,999,=>1016:377=>1061:235
1016:377,1061:235,999,=>1016:377=>1061:235
189:447,1061:235,998,=>189:447=>917:309=>1061:235
1022:496,1061:235,997,=>1022:496=>1096:428=>1048:387=>1061:235
1318:360,1061:235,998,=>1318:360=>1128:266=>1061:235
800:520,1061:235,998,=>800:520=>1128:266=>1061:235
860:567,1061:235,998,=>860:567=>1030:316=>1061:235
940:272,1061:235,999,=>940:272=>1061:235
940:272,1061:235,999,=>940:272=>1061:235
940:272,1061:235,999,=>940:272=>1061:235
940:272,1061:235,999,=>940:272=>1061:235
940:272,1061:235,999,=>940:272=>1061:235
940:272,1061:235,999,=>940:272=>1061:235
834:603,1061:235,998,=>834:603=>1030:316=>1061:235
809:647,1061:235,998,=>809:647=>1030:316=>1061:235
1496:716,1061:235,998,=>1496:716=>1166:179=>1061:235
1496:716,1061:235,998,=>1496:716=>1166:179=>1061:235
364:454,1061:235,999,=>364:454=>1061:235
364:454,1061:235,999,=>364:454=>1061:235
364:454,1061:235,999,=>364:454=>1061:235
431:560,1061:235,998,=>431:560=>1102:311=>1061:235
725:634,1061:235,998,=>725:634=>1030:316=>1061:235
1426:503,1061:235,998,=>1426:503=>1165:266=>1061:235
593:236,1061:235,998,=>593:236=>958:186=>1061:235
982:552,1061:235,998,=>982:552=>984:231=>1061:235
482:256,1061:235,998,=>482:256=>1004:271=>1061:235
378:598,1061:235,998,=>378:598=>1102:311=>1061:235
1268:757,1061:235,997,=>1268:757=>1112:432=>1064:400=>1061:235
1322:330,1061:235,999,=>1322:330=>1061:235
1322:330,1061:235,999,=>1322:330=>1061:235
1322:330,1061:235,999,=>1322:330=>1061:235
1322:330,1061:235,999,=>1322:330=>1061:235
